Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
669 -14/04/2026,USD,S.F.T.,14/04/2026,69,2.125,6 Ay,"1,014.000","1,018.000",1.6400
680 -09/10/2026,USD,S.F.T.,09/04/2026,64,2.437,6 Ay,"1,018.000","1,027.000",3.1600
637 -25/03/2027,USD,S.F.T.,25/03/2026,49,3.000,6 Ay,"1,035.000","1,049.000",3.5200
611 -24/09/2027,USD,S.F.T.,24/03/2026,48,4.300,6 Ay,"1,091.000","1,105.000",3.8900
629 -15/01/2028,USD,S.F.T.,15/07/2026,161,4.937,6 Ay,"1,094.000","1,108.000",4.3100
638 -17/02/2028,USD,S.F.T.,17/02/2026,13,2.562,6 Ay,"1,022.000","1,037.000",4.4400
654 -24/10/2028,USD,S.F.T.,24/04/2026,79,3.062,6 Ay,"1,039.000","1,054.000",4.6600
688 -14/03/2029,USD,S.F.T.,14/03/2026,38,4.687,6 Ay,"1,146.000","1,161.000",5.0000
645 -26/04/2029,USD,S.F.T.,26/04/2026,81,3.812,6 Ay,"1,082.000","1,098.000",5.0000
630 -15/01/2030,USD,S.F.T.,15/07/2026,161,5.937,6 Ay,"1,234.000","1,259.000",4.7700
668 -13/03/2030,USD,S.F.T.,13/03/2026,37,2.625,6 Ay,999.000,"1,019.000",5.2900
695 -13/07/2030,USD,S.F.T.,13/07/2026,159,4.562,6 Ay,"1,131.000","1,151.000",5.3900
628 -15/01/2031,USD,S.F.T.,15/07/2026,161,2.975,6 Ay,997.000,"1,017.000",5.6200
698 -26/06/2031,USD,S.F.T.,26/06/2026,142,2.937,6 Ay,991.000,"1,011.000",5.7700
662 -12/02/2032,USD,S.F.T.,12/02/2026,8,3.562,6 Ay,"1,072.000","1,092.000",5.9600
649 -02/05/2032,USD,S.F.T.,02/05/2026,87,4.312,6 Ay,"1,042.000","1,067.000",0.0000
650 -29/05/2032,USD,S.F.T.,29/05/2026,114,3.625,6 Ay,"1,054.000","1,074.000",6.0700
624 -17/07/2032,USD,S.F.T.,17/07/2026,163,3.562,6 Ay,"1,036.000","1,058.000",6.0900
617 -19/01/2033,USD,S.F.T.,19/07/2026,165,4.687,6 Ay,"1,156.000","1,178.000",6.2500
692*** -14/03/2033,USD,S.F.T.,14/03/2026,38,1.050,6 Ay,982.000,"1,004.000",6.2900
623 -20/09/2033,USD,S.F.T.,20/03/2026,44,3.250,6 Ay,"1,016.000","1,038.000",6.2700
631 -14/02/2034,USD,S.F.T.,14/02/2026,10,4.000,6 Ay,"1,128.000","1,152.000",6.1700
660 -15/05/2034,USD,S.F.T.,15/05/2026,100,3.812,6 Ay,"1,073.000","1,095.000",6.3900
644 -03/01/2035,USD,S.F.T.,03/07/2026,149,3.250,6 Ay,988.000,"1,010.000",6.4300
612 -16/09/2035,USD,S.F.T.,16/03/2026,40,3.475,6 Ay,"1,031.000","1,053.000",6.5700
670 -17/03/2036,USD,S.F.T.,17/03/2026,41,3.437,6 Ay,"1,029.000","1,053.000",6.5100
636 -04/11/2036,USD,S.F.T.,04/05/2026,89,3.400,6 Ay,"1,005.000","1,027.000",6.6700
601 -14/01/2038,USD,S.F.T.,14/07/2026,160,3.437,6 Ay,985.000,"1,007.000",6.8300
663 -05/03/2038,USD,S.F.T.,05/03/2026,29,3.625,6 Ay,"1,069.000","1,094.000",6.4800
675 -30/05/2040,USD,S.F.T.,30/05/2026,115,3.375,6 Ay,971.000,999.000,6.8900
678 -14/01/2041,USD,S.F.T.,14/07/2026,160,3.000,6 Ay,879.000,905.000,7.0800
667 -16/04/2043,USD,S.F.T.,16/04/2026,71,2.437,6 Ay,759.000,783.000,7.2500
615 -17/02/2045,USD,S.F.T.,17/02/2026,13,3.312,6 Ay,933.000,957.000,7.3500
610 -11/05/2047,USD,S.F.T.,11/05/2026,96,2.875,6 Ay,810.000,834.000,7.4400
647 -16/02/2026,EUR,S.F.T.,16/02/2026,12,5.200,12 Ay,"1,049.700","1,051.700",0.8700
642 -08/07/2027,EUR,S.F.T.,08/07/2026,154,4.375,12 Ay,"1,046.000","1,061.000",1.8000
682 -21/05/2030,EUR,S.F.T.,21/05/2026,106,5.875,12 Ay,"1,111.000","1,127.000",3.6800
607*** -17/08/2031,EUR,S.F.T.,17/08/2026,194,5.641,12 Ay,"1,058.000","1,074.000",4.2600
