ISIN,Döviz Cinsi,Vade Tarihi,Vadeye Kalan Gün,Alış Faiz Oranı,Stopaj Durumu,Kupon Faiz Oranı,Kupon Dönemi
US900123CR91,USD,23.12.2023,133,%1.56,Stopajsız,%3.6250,6 ay
US900123CF53,USD,22.03.2024,223,%3.83,Stopajsız,%2.8750,6 ay
US900123CV04,USD,10.08.2024,364,%5.10,Stopajsız,%3.1750,6 ay
US900123CW86,USD,14.11.2024,460,%5.56,Stopajsız,%2.8000,6 ay
US900123AW05,USD,05.02.2025,543,%5.66,Stopajsız,%3.6875,6 ay
US900123CX69,USD,13.03.2025,579,%5.82,Stopajsız,%2.1250,6 ay
XS1843443356,EUR,31.03.2025,597,%4.06,Stopajsız,%4.6250,12 ay
XS1629918415,EUR,14.06.2025,672,%4.26,Stopajsız,%3.2500,12 ay
US900123CZ18,USD,14.10.2025,794,%6.55,Stopajsız,%3.1875,6 ay
US900123DB31,USD,26.01.2026,898,%6.67,Stopajsız,%2.3750,6 ay
XS1909184753,EUR,16.02.2026,919,%4.73,Stopajsız,%5.2000,12 ay
US900123CJ75,USD,14.04.2026,976,%6.78,Stopajsız,%2.1250,6 ay
US900123CK49,USD,09.10.2026,1154,%6.94,Stopajsız,%2.4375,6 ay
US900123CL22,USD,25.03.2027,1321,%7.15,Stopajsız,%3.0000,6 ay
XS2361850527,EUR,08.07.2027,1426,%5.57,Stopajsız,%4.3750,12 ay
USM88269US88,USD,24.09.2027,1504,%7.40,Stopajsız,%4.3000,6 ay
US900123DF45,USD,15.01.2028,1617,%7.60,Stopajsız,%4.9375,6 ay
US900123CP36,USD,17.02.2028,1650,%7.27,Stopajsız,%2.5625,6 ay
US900123CQ19,USD,24.10.2028,1900,%7.46,Stopajsız,%3.0625,6 ay
US900123DH01,USD,14.03.2029,2041,%7.99,Stopajsız,%4.6875,6 ay
US900123CT57,USD,26.04.2029,2084,%7.69,Stopajsız,%3.8125,6 ay
US900123AL40,USD,15.01.2030,2348,%7.71,Stopajsız,%5.9375,6 ay
US900123CY43,USD,13.03.2030,2405,%7.70,Stopajsız,%2.6250,6 ay
US900123DJ66,USD,13.07.2030,2527,%8.14,Stopajsız,%4.5625,6 ay
US900123DA57,USD,15.01.2031,2713,%7.88,Stopajsız,%2.9750,6 ay
US900123DC14,USD,26.06.2031,2875,%7.89,Stopajsız,%2.9375,6 ay
US900123DG28,USD,19.01.2033,3448,%8.36,Stopajsız,%4.6875,6 ay
US900123DD96,USD,20.09.2033,3692,%7.92,Stopajsız,%3.2500,6 ay
US900123AT75,USD,14.02.2034,3839,%7.87,Stopajsız,%4.0000,6 ay
US900123AY60,USD,17.03.2036,4601,%8.04,Stopajsız,%3.4375,6 ay
US900123BB58,USD,05.03.2038,5319,%8.04,Stopajsız,%3.6250,6 ay
US900123BG46,USD,30.05.2040,6136,%8.35,Stopajsız,%3.3750,6 ay
US900123BJ84,USD,14.01.2041,6365,%8.25,Stopajsız,%3.0000,6 ay
US900123CB40,USD,16.04.2043,7187,%8.05,Stopajsız,%2.4375,6 ay
US900123CG37,USD,17.02.2045,7860,%8.32,Stopajsız,%3.3125,6 ay
US900123CM05,USD,11.05.2047,8673,%8.32,Stopajsız,%2.8750,6 ay
