KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,870,USD,108.107833,4.02,109.927389,3.27
US900123CF53,22.03.2024,960,USD,105.370306,4.43,107.234194,3.71
US900123CV04,10.08.2024,1101,USD,107.524806,4.75,109.380361,4.13
US900123CW86,14.11.2024,1197,USD,103.663,4.8,105.541222,4.2
US900123AW05,05.02.2025,1280,USD,107.834,4.91,109.810944,4.34
US900123CX69,13.03.2025,1316,USD,99.506389,4.91,101.375611,4.35
US900123CZ18,14.10.2025,1531,USD,106.212625,5.23,108.199458,4.73
US900123DB31,26.01.2026,1635,USD,98.17275,5.24,100.074528,4.77
US900123CJ75,14.04.2026,1713,USD,97.141417,5.26,99.104639,4.79
US900123CK49,09.10.2026,1891,USD,99.208833,5.4,101.137,4.98
US900123CL22,25.03.2027,2058,USD,104.238667,5.57,106.181333,5.18
US900123CP36,17.02.2028,2387,USD,99.547667,5.65,101.502611,5.3
US900123CQ19,24.10.2028,2637,USD,103.664403,5.79,105.614458,5.47
US900123CT57,26.04.2029,2821,USD,111.434875,6.09,113.447597,5.79
US900123AL40,15.01.2030,3085,USD,138.728722,6.05,141.279667,5.75
US900123CY43,13.03.2030,3142,USD,96.919833,6.02,98.947167,5.72
US900123DA57,15.01.2031,3450,USD,98.018556,6.28,100.024667,6.0
US900123AT75,14.02.2034,4576,USD,115.651,6.59,117.835889,6.37
US900123AY60,17.03.2036,5338,USD,103.418417,6.79,105.585806,6.57
US900123BB58,05.03.2038,6056,USD,107.546833,6.79,109.739389,6.59
US900123BG46,30.05.2040,6873,USD,99.05275,6.96,101.24175,6.75
US900123BJ84,14.01.2041,7102,USD,90.426,6.94,92.600667,6.73
US900123CB40,16.04.2043,7924,USD,80.723042,6.7,82.761208,6.5
US900123CG37,17.02.2045,8597,USD,97.835667,7.09,99.961278,6.9
US900123CM05,11.05.2047,9410,USD,86.473667,7.0,88.583556,6.81
XS1843443356,31.03.2025,1334,EUR,104.558247,3.74,106.579932,3.17
XS1629918415,14.06.2025,1409,EUR,99.004014,3.66,100.94163,3.12
XS1909184753,16.02.2026,1656,EUR,106.638918,4.15,108.713904,3.67
XS2361850527,08.07.2027,2163,EUR,100.046616,4.43,101.833562,4.09
